ha_x;ha_y;anz_vzae;anz_vzae_w;anz_besch;anz_ast;ht;widl;handel;finanz;freiedl;gewerbe;gesundheit;bau;sonstdl;inform;unterricht;verkehr;uebrige;anz_vzae_w_share;ht_share;widl_share;handel_share;finanz_share;freiedl_share;gewerbe_share;gesundheit_share;bau_share;sonstdl_share;inform_share;unterricht_share;verkehr_share;uebrige_share
2671750;1257450;4.2847016;0.9013311;5;3;0;0.7160637;0;0;0.7160637;0;0;3.5686379;0;0;0;0;0;0.210360296735717;0;0.167121019582787;0;0;0.167121019582787;0;0;0.832878980417213;0;0;0;0;0
2671850;1249950;9.2761657;5.4385052;12;4;0;0.9182498;4.3579159;0;0.9182498;0;0;0;1;0;0;0;3;0.586288060809436;0;0.0989902325699076;0.469797116711703;0;0.0989902325699076;0;0;0;0.107803162679597;0;0;0;0.323409488038792
2671850;1251150;13.5704075;1.6611878;15;6;0;2;0;0;2;0;0;10.9092197;0;0;0;0;0.661187799999999;0.1224125215105;0;0.147379509421511;0;0;0.147379509421511;0;0;0.803897723778744;0;0;0;0;0.0487227667997441
2671850;1251250;9.0297998;3.7325652;10;3;3.7325652;0;0;0;0;3.7325652;0;5;0;0;0;0.2972346;0;0.413360792340047;0.413360792340047;0;0;0;0;0.413360792340047;0;0.553722132355581;0;0;0;0.0329170753043716;0
2671850;1253550;6.5727942;1.3075554;9;5;0;0.9686223;2.8554944;0;0.9686223;0;0;2.7486775;0;0;0;0;0;0.198934480559273;0;0.147368420572182;0.434441473916831;0;0.147368420572182;0;0;0.418190105510986;0;0;0;0;0
2671850;1253650;14.7941255;4;15;3;0;1.7941255;13;0;0.9686223;0;0;0;0;0;0;0;0.8255032;0.2703775900779;0;0.121272832246827;0.878727167753173;0;0.065473440792428;0;0;0;0;0;0;0;0.0557993914543986
2671850;1257150;4.4124573;2.5689243;8;3;0;0.1924249;0;0;0;0;0.1924249;2.0789053;0;0;0;0;2.1411271;0.582198109883126;0;0.0436094645040531;0;0;0;0;0.0436094645040531;0.471144570622814;0;0;0;0;0.485245964873133
2671850;1261050;3.1954662;0;4;4;0;0.9686223;0;0;0.9686223;0;0;0;1;0;0;0.9686223;0.2582216;0;0;0.303123938535166;0;0;0.303123938535166;0;0;0;0.312943382095545;0;0;0.303123938535166;0.0808087408341231
2671850;1261250;6.5668767;3.567571;9;4;0;0;0.8266109;0;0;0;0;1.8790382;0;0;0;0;3.8612276;0.543267547569456;0;0;0.125875806378396;0;0;0;0;0.286138797154513;0;0;0;0;0.587985396467091
2671950;1250950;18.087868;11.8512679;22;5;0;1.8868721;14.1920205;0.9686223;0;0;0.9182498;0;0;0;0;0;2.0089754;0.655205350901499;0;0.104316998553948;0.784615439475786;0.0535509381205126;0;0;0.0507660604334353;0;0;0;0;0;0.111067561970267
