"","BFS","J_0_6","J_7_15","J_16_19","J_20_24","J_25_44","J_45_64","J_65_79","J_80P","MANN","FRAU","SCHWEIZ","AUSLAND","STICHTAG","TOT","GKODE_HEKTARMP","GKODN_HEKTARMP"
"146",250,4,5,1,6,14,21,19,7,32,45,65,12,2018-03-31,77,2674950,1248050
"147",230,2,1,2,0,9,13,9,2,21,17,30,8,2018-03-31,38,2699150,1263850
"148",226,2,5,0,0,5,3,6,0,11,10,21,0,2018-03-31,21,2703950,1259850
"149",196,11,11,4,4,25,9,5,0,34,35,28,41,2018-03-31,69,2696950,1241250
"150",191,7,12,3,8,39,32,5,1,55,52,41,66,2018-03-31,107,2689750,1250750
"151",177,6,2,3,5,16,41,24,3,50,50,92,8,2018-03-31,100,2701550,1247450
"152",66,12,10,6,11,40,26,7,5,58,59,41,76,2018-03-31,117,2684850,1254450
"153",154,2,2,0,2,3,7,6,3,10,15,22,3,2018-03-31,25,2687050,1241650
"154",56,2,13,3,3,30,23,4,0,36,42,53,25,2018-03-31,78,2687250,1262450
"155",261,4,5,10,5,31,34,15,3,54,53,69,38,2018-03-31,107,2683850,1253250
"156",198,3,5,0,6,22,10,1,1,28,20,44,4,2018-03-31,48,2694750,1247350
"157",230,4,4,2,7,44,20,6,2,48,41,69,20,2018-03-31,89,2696250,1262450
"158",155,10,9,1,5,27,22,6,2,43,39,64,18,2018-03-31,82,2695550,1233850
"159",261,5,1,1,0,19,11,14,1,27,25,32,20,2018-03-31,52,2680950,1252650
"160",230,10,14,6,3,58,34,17,4,73,73,89,57,2018-03-31,146,2699050,1262750
"161",230,3,6,1,8,35,20,8,0,43,38,50,31,2018-03-31,81,2693950,1263250
"162",242,13,7,2,7,28,29,8,4,51,47,74,24,2018-03-31,98,2676050,1245850
"163",294,0,5,6,4,3,11,5,2,15,21,35,1,2018-03-31,36,2707850,1260950
"164",22,0,0,0,0,0,6,9,0,7,8,13,2,2018-03-31,15,2691650,1278650
"165",195,4,6,5,0,5,13,0,1,14,20,32,2,2018-03-31,34,2691950,1242150
"166",243,4,1,1,3,20,15,3,1,29,19,26,22,2018-03-31,48,2672650,1251350
"167",227,5,7,2,3,26,20,14,2,35,44,71,8,2018-03-31,79,2696950,1266050
"168",261,3,2,0,0,28,8,2,0,26,17,17,26,2018-03-31,43,2683950,1246650
"169",261,8,6,2,8,76,33,14,3,73,77,84,66,2018-03-31,150,2679550,1247950
"170",112,8,6,3,7,18,21,14,3,44,36,66,14,2018-03-31,80,2704450,1236050
"171",176,1,3,0,1,7,1,6,2,11,10,20,1,2018-03-31,21,2694650,1256650
"172",192,4,6,1,7,25,20,12,5,44,36,56,24,2018-03-31,80,2693950,1240450
"173",13,0,0,0,3,2,5,0,1,7,4,8,3,2018-03-31,11,2679550,1242150
"174",243,5,2,1,1,14,16,28,11,38,40,59,19,2018-03-31,78,2671750,1250550
"175",118,0,0,1,1,0,3,7,1,7,6,13,0,2018-03-31,13,2706450,1234350
"176",245,6,7,0,0,15,18,6,1,30,23,38,15,2018-03-31,53,2677650,1251050
"177",198,8,6,1,1,25,15,13,5,31,43,50,24,2018-03-31,74,2697550,1245850
"178",136,17,18,8,9,48,33,19,6,77,81,105,53,2018-03-31,158,2683250,1238450
"179",199,0,2,1,4,4,15,4,0,16,14,26,4,2018-03-31,30,2696350,1249250
"180",261,0,6,0,3,8,8,16,4,21,24,42,3,2018-03-31,45,2683450,1251050
"181",196,1,4,2,2,2,11,12,1,16,19,32,3,2018-03-31,35,2696650,1240350
"182",64,3,5,1,3,6,12,5,1,20,16,34,2,2018-03-31,36,2690350,1257050
"183",96,9,10,1,4,19,24,10,2,44,35,58,21,2018-03-31,79,2677650,1256150
"184",117,2,3,0,1,3,11,2,2,14,10,23,1,2018-03-31,24,2707550,1239650
"185",294,0,5,0,0,0,4,2,1,5,7,12,0,2018-03-31,12,2707150,1262050
"186",117,2,7,1,3,6,13,6,0,17,21,33,5,2018-03-31,38,2707650,1238450
"187",101,6,7,2,1,30,12,4,4,36,30,53,13,2018-03-31,66,2676250,1260650
"188",248,2,3,3,1,8,18,9,5,24,25,40,9,2018-03-31,49,2677250,1246450
"189",198,3,12,1,0,7,32,16,1,39,33,69,3,2018-03-31,72,2698450,1246950
"190",139,1,1,0,3,14,15,12,7,22,31,41,12,2018-03-31,53,2684450,1240950
"191",261,2,0,0,1,97,34,11,0,90,55,87,58,2018-03-31,145,2682050,1248050
"192",113,5,4,3,2,28,22,6,3,41,32,50,23,2018-03-31,73,2707050,1236350
"193",161,3,5,3,6,19,23,12,10,41,40,71,10,2018-03-31,81,2685950,1244050
"194",216,5,4,1,3,10,10,15,1,21,28,48,1,2018-03-31,49,2700050,1268350
"195",191,4,9,5,4,28,36,11,8,55,50,69,36,2018-03-31,105,2689650,1250150
"196",261,3,6,3,3,25,21,5,3,31,38,62,7,2018-03-31,69,2680650,1249650
"197",247,8,21,7,8,68,50,16,1,90,89,67,112,2018-03-31,179,2675750,1249850
"198",115,1,3,0,0,6,9,5,0,12,12,21,3,2018-03-31,24,2702050,1240450
"199",214,0,4,3,1,3,9,4,0,12,12,23,1,2018-03-31,24,2697350,1268150
"200",261,6,1,2,0,21,15,0,1,24,22,29,17,2018-03-31,46,2681750,1249550
"201",180,3,3,1,1,24,19,10,2,34,29,48,15,2018-03-31,63,2699950,1254250
"202",57,2,3,3,2,10,12,4,1,25,12,21,16,2018-03-31,37,2686050,1265050
"203",68,6,10,5,1,13,9,1,0,24,21,31,14,2018-03-31,45,2686050,1264750
"204",84,8,4,3,12,31,28,3,1,50,40,48,42,2018-03-31,90,2675350,1254850
"205",296,5,5,3,1,11,8,2,1,19,17,25,11,2018-03-31,36,2698050,1256150
"206",191,0,2,0,1,3,4,4,4,7,11,17,1,2018-03-31,18,2688750,1251250
"207",261,10,6,3,2,36,24,24,19,55,69,87,37,2018-03-31,124,2680150,1247550
"208",58,7,4,4,7,29,26,2,1,39,41,52,28,2018-03-31,80,2680450,1267550
"209",227,7,11,1,1,36,26,13,8,42,61,88,15,2018-03-31,103,2697450,1265850
"210",261,9,1,3,4,11,7,0,1,12,24,13,23,2018-03-31,36,2682850,1253750
"211",198,4,1,1,0,26,8,3,0,21,22,28,15,2018-03-31,43,2696450,1245450
"212",261,13,8,1,5,43,21,11,5,50,57,75,32,2018-03-31,107,2680250,1252450
"213",92,7,8,9,6,23,30,20,4,55,52,48,59,2018-03-31,107,2681250,1258650
"214",121,5,3,5,2,15,7,2,2,19,22,34,7,2018-03-31,41,2703850,1243650
"215",261,12,1,0,3,22,13,9,0,29,31,44,16,2018-03-31,60,2680150,1252450
"216",192,2,2,2,3,13,24,10,9,29,36,44,21,2018-03-31,65,2694350,1239550
"217",55,0,3,1,0,3,6,1,3,9,8,17,0,2018-03-31,17,2681750,1270150
"218",120,2,0,0,1,8,18,5,4,17,21,23,15,2018-03-31,38,2711550,1236650
"219",121,3,16,3,9,43,29,7,2,59,53,88,24,2018-03-31,112,2701650,1242950
"220",261,4,7,1,4,14,14,12,8,27,37,60,4,2018-03-31,64,2684950,1248050
"221",155,2,11,3,1,11,22,12,10,34,38,63,9,2018-03-31,72,2694550,1234750
"222",10,2,1,0,0,5,3,7,2,10,10,12,8,2018-03-31,20,2674750,1235750
"223",154,1,0,0,1,6,3,12,4,12,15,26,1,2018-03-31,27,2686450,1242450
"224",230,5,1,1,2,14,16,8,5,18,34,42,10,2018-03-31,52,2699450,1264250
"225",228,2,5,2,1,9,13,7,1,19,21,37,3,2018-03-31,40,2707150,1252250
"226",30,0,0,0,2,7,3,9,3,8,16,23,1,2018-03-31,24,2693250,1272050
"227",230,9,8,4,8,24,21,10,15,44,55,68,31,2018-03-31,99,2698550,1260950
"228",89,0,0,1,7,9,13,2,1,17,16,23,10,2018-03-31,33,2679750,1260750
"229",296,5,9,3,2,20,23,7,1,33,37,51,19,2018-03-31,70,2693850,1253650
"230",230,19,9,2,5,26,18,1,0,40,40,59,21,2018-03-31,80,2700750,1258850
"231",261,1,9,1,2,23,14,14,2,35,31,54,12,2018-03-31,66,2684950,1245550
"232",198,2,2,0,1,12,9,0,0,15,11,20,6,2018-03-31,26,2694650,1247650
"233",261,7,1,0,2,13,5,1,0,14,15,13,16,2018-03-31,29,2684750,1248650
"234",137,10,17,4,7,21,33,17,4,57,56,101,12,2018-03-31,113,2686150,1236650
"235",245,11,3,3,3,44,32,22,3,63,58,81,40,2018-03-31,121,2676950,1251650
"236",114,2,3,0,2,2,4,1,0,7,7,10,4,2018-03-31,14,2713050,1245550
"237",67,7,2,0,3,36,22,12,2,41,43,40,44,2018-03-31,84,2683550,1274450
"238",88,0,1,3,0,0,7,1,0,7,5,12,0,2018-03-31,12,2678150,1262350
